Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Kyle Gibson,PHI,7.08,2.57,2.76,1.24,18.70%,6.80%,11.90%,0.248,1.24,0.279,69.70%,113,107,105,4.69,4.4,0.29,4.2,4.25,10123
Chris Flexen,SEA,6.39,3.15,2.03,1.11,16.50%,8.10%,8.40%,0.26,1.37,0.29,80.00%,100,113,124,3.75,4.41,-0.66,4.93,4.93,13896
Cal Quantrill,CLE,5.71,2.64,2.16,1.02,15.10%,7.00%,8.10%,0.26,1.3,0.287,74.70%,96,111,117,3.75,4.41,-0.66,4.65,4.78,19312
Jordan Lyles,BAL,7.43,2.88,2.58,1.28,18.80%,7.30%,11.50%,0.28,1.45,0.322,70.90%,120,105,112,4.79,4.43,0.36,4.48,4.41,7593
Madison Bumgarner,ARI,6.73,2.85,2.36,1.21,17.30%,7.30%,10.00%,0.257,1.33,0.288,75.00%,89,113,117,3.71,4.49,-0.78,4.7,4.61,5524
Jose Urquidy,HOU,6.88,1.97,3.5,1.52,18.20%,5.20%,13.00%,0.255,1.23,0.278,78.30%,103,114,112,3.93,4.5,-0.57,4.48,4.37,18413
Patrick Corbin,WSN,8.43,3.1,2.72,1.55,19.90%,7.30%,12.60%,0.313,1.7,0.368,64.20%,144,113,99,6.02,4.6,1.42,3.97,4.13,9323
German Marquez,COL,7.47,3.12,2.39,1.48,19.00%,7.90%,11.10%,0.272,1.43,0.307,66.50%,113,111,99,5.25,4.69,0.56,3.95,4.23,15038
Jose Berrios,TOR,8.39,2.18,3.85,1.76,21.50%,5.60%,15.90%,0.279,1.37,0.321,73.60%,128,118,99,5.2,4.69,0.5,3.95,3.89,14168
Eric Lauer,MIL,9.21,3.04,3.03,1.79,24.60%,8.10%,16.50%,0.227,1.2,0.258,77.90%,93,117,101,3.84,4.73,-0.88,4.04,3.92,19316
Hunter Greene,CIN,11.08,3.82,2.9,2.14,28.30%,9.80%,18.60%,0.243,1.37,0.293,72.50%,129,124,100,5.59,5.18,0.41,4.01,3.73,22182
Marco Gonzales,SEA,4.67,2.97,1.57,1.44,12.00%,7.60%,4.40%,0.267,1.39,0.274,76.30%,100,136,126,3.74,5.27,-1.54,5.01,5.21,15467
